,Airline,Date of Journey,Source,Destination,Route,Dep Time,Arr Time,Duration,Total Stops,Additional Info,Price,Arrival_Time_Hour,Dep_Time_Dummy,Dep_Time_Hour,Arrival_Time_Dummy
1880,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → HYD → COK,07:10,22:20,15:10,1,In-flight meal not included,7563,22:20:00,1900-01-01 07:10:00,07:10:00,1900-01-01 22:20:00
1881,SpiceJet,2019-06-27,Kolkata,Banglore,CCU → BLR,09:00,11:25,2:25,0,No info,3873,11:25:00,1900-01-01 09:00:00,09:00:00,1900-01-01 11:25:00
1882,IndiGo,2019-05-21,Delhi,Cochin,DEL → HYD → COK,11:55,00:55 22 May,13:00,1,No info,6282,00:55:00,1900-01-01 11:55:00,11:55:00,1900-01-01 00:55:00
1883,Multiple carriers,2019-06-01,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10:30,1,No info,11200,19:00:00,1900-01-01 08:30:00,08:30:00,1900-01-01 19:00:00
1884,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,19:30,22:15,2:45,0,No info,5613,22:15:00,1900-01-01 19:30:00,19:30:00,1900-01-01 22:15:00
1885,IndiGo,2019-06-09,Delhi,Cochin,DEL → COK,14:20,17:35,3:15,0,No info,5601,17:35:00,1900-01-01 14:20:00,14:20:00,1900-01-01 17:35:00
1886,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 16 Jun,22:35,1,In-flight meal not included,10262,12:35:00,1900-01-01 14:00:00,14:00:00,1900-01-01 12:35:00
1887,IndiGo,2019-03-01,Banglore,New Delhi,BLR → DEL,20:00,22:55,2:55,0,No info,14306,22:55:00,1900-01-01 20:00:00,20:00:00,1900-01-01 22:55:00
1888,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,20:00,20:45 02 Apr,24:45,1,In-flight meal not included,7064,20:45:00,1900-01-01 20:00:00,20:00:00,1900-01-01 20:45:00
1889,Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11:55,1,No info,18371,19:00:00,1900-01-01 07:05:00,07:05:00,1900-01-01 19:00:00
1890,Air India,2019-05-18,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 19 May,23:00,2,No info,13591,19:15:00,1900-01-01 20:15:00,20:15:00,1900-01-01 19:15:00
1892,Multiple carriers,2019-06-12,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 13 Jun,7:40,2,No info,18275,01:30:00,1900-01-01 17:50:00,17:50:00,1900-01-01 01:30:00
1893,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,22:10,01:00 28 May,2:50,0,No info,3749,01:00:00,1900-01-01 22:10:00,22:10:00,1900-01-01 01:00:00
1894,Air Asia,2019-06-06,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8:20,2,No info,6810,23:30:00,1900-01-01 15:10:00,15:10:00,1900-01-01 23:30:00
1895,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9:20,1,No info,7485,21:00:00,1900-01-01 11:40:00,11:40:00,1900-01-01 21:00:00
1896,Air India,2019-05-27,Kolkata,Banglore,CCU → BLR,14:15,16:45,2:30,0,No info,5510,16:45:00,1900-01-01 14:15:00,14:15:00,1900-01-01 16:45:00
1897,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 04 Jun,10:10,1,In-flight meal not included,10262,04:25:00,1900-01-01 18:15:00,18:15:00,1900-01-01 04:25:00
1898,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9:00,1,No info,6723,16:10:00,1900-01-01 07:10:00,07:10:00,1900-01-01 16:10:00
1899,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,08:00,15:30,7:30,1,No info,8307,15:30:00,1900-01-01 08:00:00,08:00:00,1900-01-01 15:30:00
1900,GoAir,2019-04-21,Delhi,Cochin,DEL → HYD → COK,05:55,13:35,7:40,1,No info,6146,13:35:00,1900-01-01 05:55:00,05:55:00,1900-01-01 13:35:00
1901,Jet Airways,2019-05-27,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,12:35 28 May,23:10,2,No info,15129,12:35:00,1900-01-01 13:25:00,13:25:00,1900-01-01 12:35:00
1902,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5:30,1,No info,14388,12:00:00,1900-01-01 06:30:00,06:30:00,1900-01-01 12:00:00
1903,Jet Airways,2019-04-06,Banglore,Delhi,BLR → DEL,06:00,08:45,2:45,0,In-flight meal not included,4544,08:45:00,1900-01-01 06:00:00,06:00:00,1900-01-01 08:45:00
1904,Jet Airways,2019-04-12,Banglore,Delhi,BLR → DEL,11:10,14:05,2:55,0,In-flight meal not included,5198,14:05:00,1900-01-01 11:10:00,11:10:00,1900-01-01 14:05:00
1905,IndiGo,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:15,01:30 19 May,16:15,1,No info,7503,01:30:00,1900-01-01 09:15:00,09:15:00,1900-01-01 01:30:00
1906,GoAir,2019-03-01,Banglore,New Delhi,BLR → GOI → DEL,15:45,20:15,4:30,1,No info,12314,20:15:00,1900-01-01 15:45:00,15:45:00,1900-01-01 20:15:00
1907,Air India,2019-05-15,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6:15,1,No info,8372,19:15:00,1900-01-01 13:00:00,13:00:00,1900-01-01 19:15:00
1908,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7:5,1,No info,14781,23:35:00,1900-01-01 16:30:00,16:30:00,1900-01-01 23:35:00
1909,Jet Airways,2019-06-24,Banglore,Delhi,BLR → DEL,19:50,22:50,3:00,0,No info,8016,22:50:00,1900-01-01 19:50:00,19:50:00,1900-01-01 22:50:00
1910,IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,07:55,10:15,2:20,0,No info,6297,10:15:00,1900-01-01 07:55:00,07:55:00,1900-01-01 10:15:00
1911,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,08:25,09:20 02 May,24:55,1,No info,14388,09:20:00,1900-01-01 08:25:00,08:25:00,1900-01-01 09:20:00
1912,GoAir,2019-06-01,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6:10,1,No info,6393,13:35:00,1900-01-01 07:25:00,07:25:00,1900-01-01 13:35:00
1913,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 10 Jun,12:55,1,No info,14939,10:05:00,1900-01-01 21:10:00,21:10:00,1900-01-01 10:05:00
1914,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11:25,1,No info,14781,19:50:00,1900-01-01 08:25:00,08:25:00,1900-01-01 19:50:00
1915,IndiGo,2019-03-06,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13:30,1,No info,14871,21:00:00,1900-01-01 07:30:00,07:30:00,1900-01-01 21:00:00
1916,SpiceJet,2019-04-06,Banglore,Delhi,BLR → DEL,09:30,12:20,2:50,0,No check-in baggage included,4319,12:20:00,1900-01-01 09:30:00,09:30:00,1900-01-01 12:20:00
1917,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 16 May,16:45,1,No info,13067,09:45:00,1900-01-01 17:00:00,17:00:00,1900-01-01 09:45:00
1918,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 02 Mar,15:20,1,No info,26890,08:15:00,1900-01-01 16:55:00,16:55:00,1900-01-01 08:15:00
1919,Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6:15,1,In-flight meal not included,9134,13:15:00,1900-01-01 07:00:00,07:00:00,1900-01-01 13:15:00
1920,IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,21:15,00:15 04 Apr,3:00,0,No info,3943,00:15:00,1900-01-01 21:15:00,21:15:00,1900-01-01 00:15:00
1921,Air India,2019-06-24,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12:15,1,No info,8879,19:15:00,1900-01-01 07:00:00,07:00:00,1900-01-01 19:15:00
1922,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 25 May,17:5,1,No info,14571,12:00:00,1900-01-01 18:55:00,18:55:00,1900-01-01 12:00:00
1923,IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,09:35,12:10,2:35,0,No info,5644,12:10:00,1900-01-01 09:35:00,09:35:00,1900-01-01 12:10:00
1924,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 10 Jun,22:10,1,In-flight meal not included,9663,04:40:00,1900-01-01 06:30:00,06:30:00,1900-01-01 04:40:00
1925,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9:30,1,No info,14571,23:35:00,1900-01-01 14:05:00,14:05:00,1900-01-01 23:35:00
1926,SpiceJet,2019-06-09,Banglore,Delhi,BLR → DEL,21:10,00:05 10 Jun,2:55,0,No info,3971,00:05:00,1900-01-01 21:10:00,21:10:00,1900-01-01 00:05:00
1927,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,09:00,18:50,9:50,1,No info,17024,18:50:00,1900-01-01 09:00:00,09:00:00,1900-01-01 18:50:00
1928,SpiceJet,2019-05-15,Kolkata,Banglore,CCU → BLR,17:10,19:40,2:30,0,No check-in baggage included,3841,19:40:00,1900-01-01 17:10:00,17:10:00,1900-01-01 19:40:00
1929,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 28 May,23:15,1,In-flight meal not included,12898,19:00:00,1900-01-01 19:45:00,19:45:00,1900-01-01 19:00:00
1930,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 07 Jun,13:50,2,No info,13376,04:25:00,1900-01-01 14:35:00,14:35:00,1900-01-01 04:25:00
1931,Jet Airways,2019-06-15,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 16 Jun,15:10,2,In-flight meal not included,9905,12:35:00,1900-01-01 21:25:00,21:25:00,1900-01-01 12:35:00
1932,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13:00,1,No info,13587,21:00:00,1900-01-01 08:00:00,08:00:00,1900-01-01 21:00:00
1933,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15:00,1,No info,7740,21:00:00,1900-01-01 06:00:00,06:00:00,1900-01-01 21:00:00
1934,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,06:00,12:35,6:35,1,No info,9794,12:35:00,1900-01-01 06:00:00,06:00:00,1900-01-01 12:35:00
1935,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,22:50,21:20 07 Mar,22:30,1,No info,17471,21:20:00,1900-01-01 22:50:00,22:50:00,1900-01-01 21:20:00
1936,Jet Airways,2019-03-09,Delhi,Cochin,DEL → IXC → BOM → COK,13:45,04:25 10 Mar,14:40,2,In-flight meal not included,15129,04:25:00,1900-01-01 13:45:00,13:45:00,1900-01-01 04:25:00
1937,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,28:50,1,No info,11467,14:25:00,1900-01-01 09:35:00,09:35:00,1900-01-01 14:25:00
1938,Air India,2019-06-12,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 Jun,24:00,1,No info,6528,14:35:00,1900-01-01 14:35:00,14:35:00,1900-01-01 14:35:00
1939,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11:45,1,No info,8266,19:15:00,1900-01-01 07:30:00,07:30:00,1900-01-01 19:15:00
1940,IndiGo,2019-03-06,Delhi,Cochin,DEL → HYD → COK,06:40,22:20,15:40,1,No info,6442,22:20:00,1900-01-01 06:40:00,06:40:00,1900-01-01 22:20:00
1941,Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 13 Jun,13:45,1,In-flight meal not included,10262,12:35:00,1900-01-01 22:50:00,22:50:00,1900-01-01 12:35:00
1942,Jet Airways,2019-03-01,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1:25,0,No info,17501,08:35:00,1900-01-01 07:10:00,07:10:00,1900-01-01 08:35:00
1943,Air India,2019-05-24,Banglore,Delhi,BLR → DEL,06:10,08:55,2:45,0,No info,8273,08:55:00,1900-01-01 06:10:00,06:10:00,1900-01-01 08:55:00
1944,Air India,2019-03-21,Delhi,Cochin,DEL → LKO → BOM → COK,18:30,19:15 22 Mar,24:45,2,No info,10703,19:15:00,1900-01-01 18:30:00,18:30:00,1900-01-01 19:15:00
1945,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 16 Jun,15:30,1,No info,8510,01:30:00,1900-01-01 10:00:00,10:00:00,1900-01-01 01:30:00
1946,IndiGo,2019-03-15,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1:30,0,No info,2754,21:35:00,1900-01-01 20:05:00,20:05:00,1900-01-01 21:35:00
1947,IndiGo,2019-05-18,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1:30,0,No info,2227,22:50:00,1900-01-01 21:20:00,21:20:00,1900-01-01 22:50:00
1948,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 28 Jun,7:40,2,No info,18275,01:30:00,1900-01-01 17:50:00,17:50:00,1900-01-01 01:30:00
1949,SpiceJet,2019-04-21,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4:30,1,No check-in baggage included,6356,13:15:00,1900-01-01 08:45:00,08:45:00,1900-01-01 13:15:00
1950,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,14:05,20:45,6:40,1,No info,14781,20:45:00,1900-01-01 14:05:00,14:05:00,1900-01-01 20:45:00
1951,Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 28 May,26:55,2,In-flight meal not included,13029,12:35:00,1900-01-01 09:40:00,09:40:00,1900-01-01 12:35:00
1952,GoAir,2019-05-01,Banglore,Delhi,BLR → DEL,11:40,14:30,2:50,0,No info,4340,14:30:00,1900-01-01 11:40:00,11:40:00,1900-01-01 14:30:00
1953,Air India,2019-06-12,Kolkata,Banglore,CCU → DEL → COK → BLR,17:30,13:45 13 Jun,20:15,2,No info,12224,13:45:00,1900-01-01 17:30:00,17:30:00,1900-01-01 13:45:00
1954,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 25 May,25:45,1,In-flight meal not included,10844,18:15:00,1900-01-01 16:30:00,16:30:00,1900-01-01 18:15:00
1955,IndiGo,2019-04-15,Kolkata,Banglore,CCU → BLR,09:35,12:20,2:45,0,No info,4174,12:20:00,1900-01-01 09:35:00,09:35:00,1900-01-01 12:20:00
1956,Air India,2019-03-01,Banglore,New Delhi,BLR → HYD → VGA → DEL,17:00,22:55 02 Mar,29:55,2,No info,14887,22:55:00,1900-01-01 17:00:00,17:00:00,1900-01-01 22:55:00
1957,Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10:15,1,No info,12853,19:15:00,1900-01-01 09:00:00,09:00:00,1900-01-01 19:15:00
1958,Air Asia,2019-05-15,Banglore,Delhi,BLR → DEL,11:10,13:55,2:45,0,No info,3383,13:55:00,1900-01-01 11:10:00,11:10:00,1900-01-01 13:55:00
1959,GoAir,2019-03-01,Banglore,New Delhi,BLR → DEL,11:40,14:35,2:55,0,No info,11111,14:35:00,1900-01-01 11:40:00,11:40:00,1900-01-01 14:35:00
1960,Jet Airways,2019-04-01,Banglore,Delhi,BLR → DEL,17:45,20:45,3:00,0,No info,7229,20:45:00,1900-01-01 17:45:00,17:45:00,1900-01-01 20:45:00
1961,Jet Airways,2019-05-06,Banglore,Delhi,BLR → DEL,17:45,20:45,3:00,0,In-flight meal not included,4030,20:45:00,1900-01-01 17:45:00,17:45:00,1900-01-01 20:45:00
1962,IndiGo,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:00,01:35 04 Mar,10:35,1,No info,14871,01:35:00,1900-01-01 15:00:00,15:00:00,1900-01-01 01:35:00
1963,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 28 May,8:40,1,In-flight meal not included,12898,04:25:00,1900-01-01 19:45:00,19:45:00,1900-01-01 04:25:00
1964,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,11:30,19:15,7:45,1,No info,14533,19:15:00,1900-01-01 11:30:00,11:30:00,1900-01-01 19:15:00
1965,Air India,2019-06-06,Delhi,Cochin,DEL → BLR → COK,17:40,08:15 07 Jun,14:35,1,No info,7258,08:15:00,1900-01-01 17:40:00,17:40:00,1900-01-01 08:15:00
1966,SpiceJet,2019-04-01,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4:30,1,No info,4812,13:15:00,1900-01-01 08:45:00,08:45:00,1900-01-01 13:15:00
1967,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11:30,1,In-flight meal not included,12384,21:05:00,1900-01-01 09:35:00,09:35:00,1900-01-01 21:05:00
1968,Air India,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 07 Jun,19:40,2,No info,8603,07:40:00,1900-01-01 12:00:00,12:00:00,1900-01-01 07:40:00
1969,Air India,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19:15,7:15,2,No info,8603,19:15:00,1900-01-01 12:00:00,12:00:00,1900-01-01 19:15:00
1970,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,13:55,23:25,9:30,1,No info,14231,23:25:00,1900-01-01 13:55:00,13:55:00,1900-01-01 23:25:00
1972,Air Asia,2019-06-01,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 02 Jun,10:25,1,No info,11410,07:10:00,1900-01-01 20:45:00,20:45:00,1900-01-01 07:10:00
1973,Air India,2019-03-12,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,09:25 13 Mar,24:35,2,No info,12725,09:25:00,1900-01-01 08:50:00,08:50:00,1900-01-01 09:25:00
1974,Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 10 Jun,27:00,2,No info,13292,12:35:00,1900-01-01 09:35:00,09:35:00,1900-01-01 12:35:00
1975,SpiceJet,2019-04-24,Kolkata,Banglore,CCU → BLR,06:55,09:30,2:35,0,No info,3873,09:30:00,1900-01-01 06:55:00,06:55:00,1900-01-01 09:30:00
1976,IndiGo,2019-06-15,Chennai,Kolkata,MAA → CCU,07:55,10:15,2:20,0,No info,3850,10:15:00,1900-01-01 07:55:00,07:55:00,1900-01-01 10:15:00
1977,SpiceJet,2019-06-09,Kolkata,Banglore,CCU → KNU → BLR,11:35,18:50,7:15,1,No info,8479,18:50:00,1900-01-01 11:35:00,11:35:00,1900-01-01 18:50:00
1978,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,09:35,23:35,14:00,1,No info,14151,23:35:00,1900-01-01 09:35:00,09:35:00,1900-01-01 23:35:00
1979,Air India,2019-04-24,Banglore,Delhi,BLR → DEL,06:10,08:55,2:45,0,No info,5228,08:55:00,1900-01-01 06:10:00,06:10:00,1900-01-01 08:55:00
1980,Vistara,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,07:10,09:05 10 Jun,25:55,1,No info,9397,09:05:00,1900-01-01 07:10:00,07:10:00,1900-01-01 09:05:00
1981,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1:25,0,In-flight meal not included,4995,08:30:00,1900-01-01 07:05:00,07:05:00,1900-01-01 08:30:00
1983,Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,04:55,07:45,2:50,0,No info,4282,07:45:00,1900-01-01 04:55:00,04:55:00,1900-01-01 07:45:00
1984,Air India,2019-05-21,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,21:50,13:30,2,No info,10697,21:50:00,1900-01-01 08:20:00,08:20:00,1900-01-01 21:50:00
1985,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 22 May,28:50,1,In-flight meal not included,9314,14:25:00,1900-01-01 09:35:00,09:35:00,1900-01-01 14:25:00
1986,IndiGo,2019-06-27,Chennai,Kolkata,MAA → CCU,05:15,07:40,2:25,0,No info,3540,07:40:00,1900-01-01 05:15:00,05:15:00,1900-01-01 07:40:00
1987,Air India,2019-06-12,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 13 Jun,26:35,2,No info,9443,19:15:00,1900-01-01 16:40:00,16:40:00,1900-01-01 19:15:00
1988,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,07:30,15:30,8:00,1,No info,15147,15:30:00,1900-01-01 07:30:00,07:30:00,1900-01-01 15:30:00
1989,Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,08:20,11:20,3:00,0,No info,8016,11:20:00,1900-01-01 08:20:00,08:20:00,1900-01-01 11:20:00
1990,IndiGo,2019-05-24,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1:30,0,No info,2437,22:50:00,1900-01-01 21:20:00,21:20:00,1900-01-01 22:50:00
1991,IndiGo,2019-05-27,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 28 May,14:55,1,No info,6104,01:30:00,1900-01-01 10:35:00,10:35:00,1900-01-01 01:30:00
1992,SpiceJet,2019-06-06,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 07 Jun,1:30,0,No check-in baggage included,1965,00:15:00,1900-01-01 22:45:00,22:45:00,1900-01-01 00:15:00
1993,Multiple carriers,2019-06-12,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8:00,1,No info,7408,21:00:00,1900-01-01 13:00:00,13:00:00,1900-01-01 21:00:00
1994,IndiGo,2019-06-18,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1:30,0,No info,4049,07:55:00,1900-01-01 06:25:00,06:25:00,1900-01-01 07:55:00
1995,Jet Airways,2019-06-01,Banglore,Delhi,BLR → DEL,19:50,22:50,3:00,0,No info,8016,22:50:00,1900-01-01 19:50:00,19:50:00,1900-01-01 22:50:00
1996,Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,07:00,19:00,12:00,1,No info,10197,19:00:00,1900-01-01 07:00:00,07:00:00,1900-01-01 19:00:00
1997,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 02 May,11:5,1,In-flight meal not included,10844,08:15:00,1900-01-01 21:10:00,21:10:00,1900-01-01 08:15:00
1998,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,17:00,19:10 10 Jun,26:10,1,No info,12692,19:10:00,1900-01-01 17:00:00,17:00:00,1900-01-01 19:10:00
1999,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7:55,1,No info,14781,16:20:00,1900-01-01 08:25:00,08:25:00,1900-01-01 16:20:00
2000,GoAir,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 25 May,8:15,1,No info,7335,07:45:00,1900-01-01 23:30:00,23:30:00,1900-01-01 07:45:00
2001,Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,08:20,11:20,3:00,0,No info,7229,11:20:00,1900-01-01 08:20:00,08:20:00,1900-01-01 11:20:00
2002,Vistara,2019-03-24,Banglore,New Delhi,BLR → DEL,21:10,00:05 28 Mar,2:55,0,No info,4353,00:05:00,1900-01-01 21:10:00,21:10:00,1900-01-01 00:05:00
2003,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 19 May,12:15,1,No info,13941,08:15:00,1900-01-01 20:00:00,20:00:00,1900-01-01 08:15:00
2004,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → MAA → DEL,09:45,14:25,4:40,1,No info,12295,14:25:00,1900-01-01 09:45:00,09:45:00,1900-01-01 14:25:00
2005,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 28 May,13:45,1,In-flight meal not included,12898,12:35:00,1900-01-01 22:50:00,22:50:00,1900-01-01 12:35:00
2006,Vistara,2019-05-09,Kolkata,Banglore,CCU → DEL → BLR,07:10,22:40,15:30,1,No info,7927,22:40:00,1900-01-01 07:10:00,07:10:00,1900-01-01 22:40:00
2007,Air Asia,2019-04-15,Banglore,Delhi,BLR → DEL,23:55,02:45 16 Apr,2:50,0,No info,4483,02:45:00,1900-01-01 23:55:00,23:55:00,1900-01-01 02:45:00
2008,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,11:40,18:25,6:45,1,No info,19225,18:25:00,1900-01-01 11:40:00,11:40:00,1900-01-01 18:25:00
2009,GoAir,2019-04-24,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6:10,1,No info,4692,13:35:00,1900-01-01 07:25:00,07:25:00,1900-01-01 13:35:00
2010,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,21:25,09:30 16 Mar,12:5,1,No info,13555,09:30:00,1900-01-01 21:25:00,21:25:00,1900-01-01 09:30:00
2011,IndiGo,2019-04-09,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 10 Apr,10:30,1,No info,6270,01:30:00,1900-01-01 15:00:00,15:00:00,1900-01-01 01:30:00
2012,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 07 May,21:25,1,No info,13584,16:20:00,1900-01-01 18:55:00,18:55:00,1900-01-01 16:20:00
2013,Jet Airways,2019-03-21,Delhi,Cochin,DEL → MAA → BOM → COK,16:10,18:50 22 Mar,26:40,2,No info,13180,18:50:00,1900-01-01 16:10:00,16:10:00,1900-01-01 18:50:00
2014,Jet Airways,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:25,18:00 13 May,21:35,1,No info,14151,18:00:00,1900-01-01 20:25:00,20:25:00,1900-01-01 18:00:00
2015,Vistara,2019-05-12,Delhi,Cochin,DEL → COK,06:00,09:10,3:10,0,No info,6216,09:10:00,1900-01-01 06:00:00,06:00:00,1900-01-01 09:10:00
2016,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,07:30,18:50,11:20,1,No info,15135,18:50:00,1900-01-01 07:30:00,07:30:00,1900-01-01 18:50:00
2017,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9:30,1,In-flight meal not included,15136,21:00:00,1900-01-01 11:30:00,11:30:00,1900-01-01 21:00:00
2018,Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16:45,1,In-flight meal not included,10262,19:00:00,1900-01-01 02:15:00,02:15:00,1900-01-01 19:00:00
2019,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12:30,1,In-flight meal not included,12384,22:05:00,1900-01-01 09:35:00,09:35:00,1900-01-01 22:05:00
2020,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9:35,1,In-flight meal not included,9314,19:10:00,1900-01-01 09:35:00,09:35:00,1900-01-01 19:10:00
2021,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:00 07 May,25:00,1,In-flight meal not included,9314,18:00:00,1900-01-01 17:00:00,17:00:00,1900-01-01 18:00:00
